"","regspp","region","spp","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011"
"33","AFSC_Aleutians_Lepidopsettasp.","AFSC_Aleutians","Lepidopsettasp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-177.175214301601,NA,NA,-177.349426400301,NA,NA,NA,NA,-177.277108201864,NA,NA,-177.764928938633,NA,NA,-177.962734113364,NA,NA,-177.311845883496,NA,-177.874716933169,NA,-175.752281763345,NA,-177.431331652434,NA,NA,NA,-177.153013000011,NA
"34","AFSC_Aleutians_Leptagonusfrenatus","AFSC_Aleutians","Leptagonusfrenatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-176.353227904902,NA,NA,-180.866051947907,NA,NA,NA,NA,-180.162744762912,NA,NA,-180.845438373974,NA,NA,-176.855689482736,NA,NA,-177.261755262602,NA,-176.012252249721,NA,-180.537575226172,NA,-177.171447611303,NA,NA,NA,-181.747843274223,NA
"35","AFSC_Aleutians_Lithodesaequispinus","AFSC_Aleutians","Lithodesaequispinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-181.41348566378,NA,NA,-181.521377887154,NA,NA,NA,NA,-179.058432354553,NA,NA,-178.391599602449,NA,NA,-175.621325293074,NA,NA,-176.220500682884,NA,-178.199221280082,NA,-176.327747278476,NA,-175.829824288993,NA,NA,NA,-178.984795406696,NA
"36","AFSC_Aleutians_Lycodesconcolor","AFSC_Aleutians","Lycodesconcolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-173.028314820745,NA,NA,-173.713820044355,NA,NA,NA,NA,-180.552296133649,NA,NA,-176.15811164133,NA,NA,-178.985898473653,NA,NA,-180.394404897921,NA,-176.544490226162,NA,-177.105781994149,NA,-178.183381880151,NA,NA,NA,-180.161883102747,NA
"37","AFSC_Aleutians_Lycodesdiapterus","AFSC_Aleutians","Lycodesdiapterus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-178.000852255247,NA,NA,-180.503629535393,NA,NA,NA,NA,-179.00785369866,NA,NA,-180.023690434783,NA,NA,-179.378365921625,NA,NA,-181.701466800654,NA,-181.500389964233,NA,-182.218491540898,NA,-179.422070837533,NA,NA,NA,-180.424568579957,NA
"38","AFSC_Aleutians_Malacocottuszonurus","AFSC_Aleutians","Malacocottuszonurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-178.94582205995,NA,NA,-178.611442345375,NA,NA,NA,NA,-176.251862150564,NA,NA,-175.845062514903,NA,NA,-176.036898147084,NA,NA,-175.931514227451,NA,-175.531841394571,NA,-175.803176984666,NA,-176.78322277313,NA,NA,NA,-175.216292518814,NA
"39","AFSC_Aleutians_Microstomuspacificus","AFSC_Aleutians","Microstomuspacificus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-171.413501495951,NA,NA,-174.392165443472,NA,NA,NA,NA,-179.577610494598,NA,NA,-176.808718558407,NA,NA,-178.355290656043,NA,NA,-180.058874653057,NA,-179.403472438868,NA,-177.354975588065,NA,-178.257005998668,NA,NA,NA,-180.278086399277,NA
"40","AFSC_Aleutians_Myoxocephalussp.","AFSC_Aleutians","Myoxocephalussp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-185.033188883341,NA,NA,-182.845565496432,NA,NA,NA,NA,-180.978357009344,NA,NA,-177.53927935365,NA,NA,-180.934457965633,NA,NA,-179.448808387056,NA,-182.349181554962,NA,-172.172517872164,NA,-176.387288665903,NA,NA,NA,-176.898114449359,NA
"41","AFSC_Aleutians_Neptuneasp.","AFSC_Aleutians","Neptuneasp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-185.849962049003,NA,NA,-180.023690434783,NA,NA,NA,NA,-168.007417884381,NA,NA,-177.460961207004,NA,NA,-170.775307917436,NA,NA,-174.426042818216,NA,-180.079405479521,NA,-176.460745216595,NA,-169.906653442541,NA,NA,NA,-173.145875550974,NA
"42","AFSC_Aleutians_Nudibranchia","AFSC_Aleutians","Nudibranchia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-174.41094806037,NA,NA,-176.963758603194,NA,NA,NA,NA,-178.093364201778,NA,NA,-178.932990248518,NA,NA,-173.742590795166,NA,NA,-177.382529808792,NA,-172.701321380258,NA,-174.443926365459,NA,-172.378973455081,NA,NA,NA,-175.724008229943,NA
