"regspp","region","spp","year","spp.centroid.lat","spp.centroid.lon","spp.centroid.depth"
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1975",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1976",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1977",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1978",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1979",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1980",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1981",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1982",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1983",52.3982874841738,-172.668098512086,248.434855464304
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1984",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1985",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1986",52.4025341862941,-172.067276284891,308.826280734067
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1987",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1988",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1989",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1990",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1991",51.7478728050564,-175.633000242181,371.261940253901
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1992",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1993",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1994",52.1537411336719,-177.871763178872,368.272173716041
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1995",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1996",NA,NA,NA
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1997",52.2242251211273,-179.954303051692,358.681029373262
"AFSC_Aleutians_Anoplopomafimbria","AFSC_Aleutians","Anoplopomafimbria","1998",NA,NA,NA
